eval,best_so_far
200,18442.309453811587
300,18442.309453811587
400,18442.309453811587
500,18442.309453811587
600,18442.309453811587
700,18442.309453811587
800,18442.309453811587
900,18442.309453811587
1000,18442.309453811587
1100,18442.309453811587
1200,18442.309453811587
1300,18442.309453811587
1400,18442.309453811587
1500,18442.309453811587
1600,18442.309453811587
1700,18442.309453811587
1800,18442.309453811587
1900,18442.309453811587
2000,18442.309453811587
2100,18442.309453811587
2200,18442.309453811587
2300,18442.309453811587
2400,18442.309453811587
2500,18442.309453811587
2600,18442.309453811587
2700,18442.309453811587
2800,18442.309453811587
2900,18442.309453811587
3000,18442.309453811587
3100,18442.309453811587
3200,18442.309453811587
3300,18442.309453811587
3400,18442.309453811587
3500,18442.309453811587
3600,18442.309453811587
3700,18442.309453811587
3800,18442.309453811587
3900,18442.309453811587
4000,18442.309453811587
4100,18442.309453811587
4200,18442.309453811587
4300,18442.309453811587
4400,18442.309453811587
4500,18442.309453811587
4600,18442.309453811587
4700,18442.309453811587
4800,18442.309453811587
4900,18442.309453811587
5000,18442.309453811587
5100,18442.309453811587
5200,18442.309453811587
5300,18442.309453811587
5400,18442.309453811587
5500,18442.309453811587
5600,18442.309453811587
5700,18442.309453811587
5800,18442.309453811587
5900,18442.309453811587
6000,18442.309453811587
6100,18442.309453811587
6200,18442.309453811587
6300,18442.309453811587
6400,18442.309453811587
6500,18442.309453811587
6600,18442.309453811587
6700,18442.309453811587
6800,18442.309453811587
6900,18442.309453811587
7000,18442.309453811587
7100,18442.309453811587
7200,18442.309453811587
7300,18442.309453811587
7400,18442.309453811587
7500,18442.309453811587
7600,18442.309453811587
7700,18442.309453811587
7800,18442.309453811587
7900,18442.309453811587
8000,18442.309453811587
8100,18442.309453811587
8200,18442.309453811587
8300,18442.309453811587
8400,18442.309453811587
8500,18442.309453811587
8600,18442.309453811587
8700,18442.309453811587
8800,18442.309453811587
8900,18442.309453811587
9000,18442.309453811587
9100,18442.309453811587
9200,18442.309453811587
9300,18442.309453811587
9400,18442.309453811587
9500,18442.309453811587
9600,18442.309453811587
9700,18442.309453811587
9800,18442.309453811587
9900,18442.309453811587
10000,18442.309453811587
10100,18442.309453811587
10200,18442.309453811587
10300,18442.309453811587
10400,18442.309453811587
10500,18442.309453811587
10600,18442.309453811587
10700,18442.309453811587
10800,18442.309453811587
10900,18442.309453811587
11000,18442.309453811587
11100,18442.309453811587
11200,18442.309453811587
11300,18442.309453811587
11400,18442.309453811587
11500,18442.309453811587
