run,best_value,runtime_sec
0,9.233111225453712e-08,11.01969575881958
1,7.316519448222538e-08,10.913076400756836
2,6.247342455882365e-09,10.845640420913696
3,1.4657787360142224e-09,10.900391101837158
4,4.670242802862756e-07,11.043564319610596
5,3.4832392208301714e-07,11.097723722457886
6,2.672155810282317e-07,11.039135694503784
7,5.60812640983836e-08,11.074411869049072
8,1.8881461361483457e-07,11.043889284133911
9,1.5704930783850832e-07,11.008983850479126
10,3.7224227652693117e-09,10.89130187034607
