eval,best_so_far
40,6860.767469348077
80,6472.617368398311
120,6472.617368398311
160,6072.715667303719
200,6072.715667303719
240,6072.715667303719
280,5992.256432147276
320,5685.4877300765165
360,5685.4877300765165
400,5685.4877300765165
440,5685.4877300765165
480,5685.4877300765165
520,5685.4877300765165
560,5685.4877300765165
600,5685.4877300765165
640,5685.4877300765165
680,5685.4877300765165
720,5685.4877300765165
760,5479.844468415737
800,5179.744768225326
840,5179.744768225326
880,4889.433285016232
920,4597.063802844424
960,4597.063802844424
1000,4597.063802844424
1040,4597.063802844424
1080,4471.335205348908
1120,4416.655848225354
1160,4416.655848225354
1200,4395.831559691736
1240,4395.831559691736
1280,4308.392962163265
1320,4308.392962163265
1360,4308.392962163265
1400,4208.390396176459
1440,4208.390396176459
1480,4163.048169337267
1520,4163.048169337267
1560,3958.938286995337
1600,3958.938286995337
1640,3958.938286995337
1680,3958.938286995337
1720,3952.7025892157426
1760,3952.5288169997693
1800,3901.2399476901574
1840,3901.2399476901574
1880,3894.9996526159093
1920,3874.867195605072
1960,3874.867195605072
2000,3874.867195605072
2040,3866.037675036041
2080,3857.8377412676427
2120,3769.0137005543056
2160,3752.3781103207466
2200,3743.4583237028546
2240,3743.4583237028546
2280,3742.2141061397797
2320,3709.3611679639926
2360,3709.3611679639926
2400,3709.3611679639926
2440,3709.3611679639926
2480,3709.3611679639926
2520,3698.4500528646513
2560,3691.0964581562384
2600,3677.9571475770927
2640,3674.79897988601
2680,3669.9019075124106
2720,3663.4686528923103
2760,3657.788643152022
2800,3647.785668473307
2840,3550.9530879629574
2880,3538.047357973196
2920,3538.047357973196
2960,3538.047357973196
3000,3491.871510354744
3040,3467.6978914363335
3080,3467.6978914363335
3120,3463.6057007472036
3160,3442.617061391512
3200,3442.617061391512
3240,3425.51522880227
3280,3424.2300636788977
3320,3406.875684177654
3360,3406.875684177654
3400,3406.875684177654
3440,3406.875684177654
3480,3404.3070705904656
3520,3404.3070705904656
3560,3403.5801274094165
3600,3381.2826934109808
3640,3359.134050266037
3680,3359.134050266037
3720,3359.134050266037
3760,3359.134050266037
3800,3357.0641063688818
3840,3354.563066432027
3880,3353.5742851545856
3920,3353.1653503442976
3960,3352.9863529176446
4000,3352.902844447547
4040,3350.695245414374
4080,3349.14700845088
4120,3347.3576365523813
4160,3346.4432859701137
4200,3345.952235940963
4240,3345.6783721978754
4280,3277.71815609477
4320,3277.71815609477
4360,3277.71815609477
4400,3267.8248674323477
4440,3267.8248674323477
4480,3267.8248674323477
4520,3239.1596766144785
4560,3239.1596766144785
4600,3239.1596766144785
4640,3238.12075053242
4680,3238.12075053242
4720,3238.12075053242
4760,3238.12075053242
4800,3238.12075053242
4840,3237.8457295801445
4880,3235.1461950789444
4920,3235.1461950789444
4960,3230.632884409153
5000,3226.173675544307
5040,3226.173675544307
5080,3220.306458701002
5120,3219.011837674034
5160,3213.768880627529
5200,3213.768880627529
5240,3210.6608095363163
5280,3209.0409128925794
5320,3207.5214834297585
5360,3201.581809524323
5400,3201.581809524323
5440,3200.777618687496
5480,3200.777618687496
5520,3198.773971723699
5560,3197.3742760477007
5600,3196.7770932974117
5640,3196.7770932974117
5680,3196.092897495978
5720,3196.092897495978
5760,3196.092897495978
5800,3196.092897495978
5840,3195.61909035207
5880,3194.592621268289
5920,3193.746355349638
5960,3192.781738350669
6000,3192.3824730395227
6040,3191.4302349434056
6080,3190.670542692049
6120,3190.544963871478
6160,3190.4387631723584
6200,3189.9213757070493
6240,3189.9213757070493
6280,3189.436099322542
6320,3189.078951593704
6360,3189.078951593704
6400,3189.078951593704
6440,3188.5506956898344
6480,3188.1738707410905
6520,3187.6933059408893
6560,3187.477377215995
6600,3187.232863643936
6640,3187.015004129058
6680,3186.8341267756687
6720,3186.738004784488
6760,3186.6847970510235
6800,3186.52941491565
6840,3186.365683540421
6880,3185.778665961767
6920,3185.624445538505
6960,3185.5030340437097
7000,3185.324088433076
7040,3185.1206943429615
7080,3185.0318382428286
7120,3184.6793263607588
7160,3184.5194643318046
7200,3184.073430660902
7240,3183.163262297462
7280,3182.9097926986224
7320,3182.597369629646
7360,3182.116251680559
7400,3181.919184656739
7440,3181.845543165724
7480,3181.817411122558
7520,3181.806310232103
7560,3181.7361425688005
7600,3181.6295300823367
7640,3181.3567312389405
7680,3180.9709023731693
7720,3180.924530006382
7760,3180.679055414267
7800,3180.5123051784803
7840,3180.4946909705777
7880,3180.231735762827
7920,3180.124724608474
7960,3180.0788038158244
8000,3179.959691889201
8040,3179.868025458133
8080,3179.7375878924195
8120,3179.6349333665403
8160,3179.5628971548176
8200,3179.5628971548176
8240,3179.557489709714
8280,3179.508080110327
8320,3179.508080110327
8360,3179.4722307560187
8400,3179.2574952678797
8440,3179.2574952678797
8480,3179.1113217034363
8520,3179.0182772367043
8560,3178.7522336372867
8600,3178.676248798104
8640,3178.6165759627993
8680,3178.5758699844773
8720,3178.5432138063898
8760,3178.4431402974933
8800,3178.4431402974933
8840,3178.4431402974933
8880,3178.395293169415
8920,3178.3585288771637
8960,3178.3531881529534
9000,3178.336860359441
9040,3178.136554827046
9080,3178.136554827046
9120,3178.1324888075214
9160,3178.0292740975347
9200,3178.0264313538055
9240,3177.9790066350797
9280,3177.9594112387804
9320,3177.9513602067846
9360,3177.9513602067846
9400,3177.9513602067846
9440,3177.944524071999
9480,3177.9264161353813
9520,3177.9264161353813
9560,3177.9117386226735
9600,3177.8923458393256
9640,3177.8833586756027
9680,3177.82676068209
9720,3177.7779513287605
9760,3177.746251090349
9800,3177.733755966048
9840,3177.712649361656
9880,3177.674779706501
9920,3177.66430178227
9960,3177.6499440439657
10000,3177.6310865361756
10040,3177.615946807173
10080,3177.5805310635214
10120,3177.5654371833143
10160,3177.561283464038
10200,3177.5605564718344
10240,3177.4647413383127
10280,3177.4647413383127
10320,3177.46410887844
10360,3177.4106698384967
10400,3177.3794035164283
10440,3177.3291939414994
10480,3177.294416655115
10520,3177.27299327701
10560,3177.268473985364
10600,3177.207933656202
10640,3177.207933656202
10680,3177.2044000341493
10720,3177.145097002064
10760,3177.073863067607
10800,3176.9961403390735
10840,3176.982406540942
10880,3176.982406540942
10920,3176.9106758698153
10960,3176.8374314662915
11000,3176.8150774713095
11040,3176.7696224742713
11080,3176.6881254617965
11120,3176.662936703563
11160,3176.6563625609297
11200,3176.6386937114275
11240,3176.6386937114275
11280,3176.6386937114275
11320,3176.6315041319986
11360,3176.617806957409
11400,3176.555991593308
11440,3176.5078213698207
11480,3176.417585866182
11520,3176.417585866182
11560,3176.417585866182
11600,3176.3965447333894
11640,3176.3965447333894
11680,3176.3965447333894
11720,3176.381596634631
11760,3176.379964388683
11800,3176.37493135335
11840,3176.338349899319
11880,3176.338349899319
11920,3176.299673428741
11960,3176.299673428741
12000,3176.299673428741
12040,3176.298666953606
12080,3176.2715859132486
12120,3176.2638795734338
12160,3176.255224555127
12200,3176.255224555127
12240,3176.255224555127
12280,3176.2431961707953
12320,3176.2310624479833
12360,3176.22874923742
12400,3176.20544363945
12440,3176.1938270732326
12480,3176.1904038801713
12520,3176.18075050476
12560,3176.18075050476
12600,3176.165750373927
12640,3176.156507640244
12680,3176.1515609681846
12720,3176.121482475043
12760,3176.104905509538
12800,3176.076888045188
12840,3176.052415619203
12880,3176.0206586824315
12920,3176.0206586824315
12960,3176.0025205835927
13000,3175.992275722331
13040,3175.9787107140155
13080,3175.9709471668302
13120,3175.95407364136
13160,3175.878949523255
13200,3175.786004159575
13240,3175.643973572971
13280,3175.5617789930147
13320,3175.513550949714
13360,3175.456992146055
13400,3175.415510522129
13440,3175.3973022097725
13480,3175.3577666413603
13520,3175.1858889075547
13560,3175.0863981078146
13600,3174.90679785488
13640,3174.8052467289126
13680,3174.7552890991583
13720,3174.6787415495855
13760,3173.9202313600317
13800,3173.417749559152
13840,3173.1415278220593
13880,3172.820927628589
13920,3172.3102661135244
13960,3172.0210473988172
14000,3171.4989486679187
14040,3171.4010962672546
14080,3170.938994983867
14120,3170.938994983867
14160,3170.7685337945413
14200,3170.587288927666
14240,3170.3289239631167
14280,3170.052220025921
14320,3169.91456786462
14360,3169.8421949814137
14400,3169.5777541359093
14440,3169.3271173415596
14480,3169.1045976869036
14520,3168.769684135227
14560,3168.753782464646
14600,3168.649179883235
14640,3168.4509705861874
14680,3168.0490239014644
14720,3167.8290222674086
14760,3167.7217143036723
14800,3167.400692640743
14840,3166.947711041148
14880,3166.5997601209147
14920,3166.3410106407273
14960,3166.2107550848687
15000,3166.14160191108
15040,3166.0610828436093
15080,3166.003024383226
15120,3165.9200100422413
15160,3165.721356873775
15200,3165.3834592995436
15240,3165.3834592995436
15280,3165.2395972736467
15320,3165.064093744155
15360,3164.9660549158316
15400,3163.0406876715806
15440,3161.208698798223
15480,3160.9673360172737
15520,3160.5945145293417
15560,3160.5945145293417
15600,3160.5945145293417
15640,3160.5945145293417
15680,3160.5945145293417
15720,3160.5945145293417
15760,3159.7006358382814
15800,3159.7006358382814
15840,3159.467087123149
15880,3159.467087123149
15920,3159.467087123149
15960,3159.467087123149
16000,3159.467087123149
16040,3159.467087123149
16080,3159.467087123149
16120,3159.467087123149
16160,3159.4556449231923
16200,3159.4227994451985
16240,3159.4227994451985
16280,3159.4227994451985
16320,3159.4227994451985
16360,3159.3937279323127
16400,3159.384530492771
16440,3159.33605289353
16480,3159.2933809592605
16520,3159.2804586931443
16560,3159.2804586931443
16600,3159.2804586931443
16640,3159.2461892220554
16680,3159.2461892220554
16720,3159.2461892220554
16760,3159.234581533644
16800,3159.2231011523745
16840,3159.2059434430166
16880,3159.1631164514993
16920,3159.1472822534824
16960,3159.1080478856074
17000,3159.107360406336
17040,3159.107360406336
17080,3159.107360406336
17120,3159.1012564718285
17160,3159.1012296622484
17200,3159.073675702615
17240,3159.0680602337525
17280,3159.059361367211
17320,3159.0486432563966
17360,3159.039961060399
17400,3159.036951098322
17440,3159.026900452388
17480,3159.015587424893
17520,3159.003952375413
17560,3158.9955238394987
17600,3158.9776573866466
17640,3158.9776573866466
17680,3158.955445415633
17720,3158.955445415633
17760,3158.955445415633
17800,3158.9423581758747
17840,3158.930922289217
17880,3158.908213794468
17920,3158.897517377497
17960,3158.8921538700833
18000,3158.8893153323197
18040,3158.8877488542994
18080,3158.8811262589097
18120,3158.87698649706
18160,3158.875109169372
18200,3158.863678412232
18240,3158.8630481600694
18280,3158.8585652202173
18320,3158.8585652202173
18360,3158.8412662915525
18400,3158.8281656583076
18440,3158.8260719198524
18480,3158.8229928195597
18520,3158.814032278311
18560,3158.8013004178047
18600,3158.7987582028163
18640,3158.7987582028163
18680,3158.7987582028163
18720,3158.796160464728
18760,3158.784611405077
18800,3158.782411895165
18840,3158.7823547181506
18880,3158.7823547181506
18920,3158.765470471768
18960,3158.7597977819087
19000,3158.755933620796
19040,3158.7520895670878
19080,3158.7412922304993
19120,3158.7412922304993
19160,3158.7412922304993
19200,3158.738511608276
19240,3158.738511608276
19280,3158.736458496458
19320,3158.736458496458
19360,3158.7363102882555
19400,3158.7340316791315
19440,3158.7340316791315
19480,3158.7340316791315
19520,3158.73370742553
19560,3158.7334419889157
19600,3158.733220706701
19640,3158.7324588099727
19680,3158.7320080015697
19720,3158.7318480036674
19760,3158.731127119303
19800,3158.730458883041
19840,3158.7300927138876
19880,3158.730090882813
19920,3158.7297304522544
19960,3158.729684510764
20000,3158.7293510587506
20040,3158.729253884446
20080,3158.728965304853
