run,best_value,runtime_sec
0,3.6669336020743985e-183,2.5407707691192627
1,8.956321661458809e-184,2.579822063446045
2,1.5650900121958205e-188,2.529348850250244
3,2.727124278381166e-182,3.0438296794891357
4,8.931260478136486e-188,2.620893955230713
5,1.948512152429482e-183,2.579435110092163
6,1.223554028642661e-184,2.528503656387329
7,5.784326053712714e-186,2.7476561069488525
8,4.001272966078428e-186,2.8011136054992676
9,8.765431233922763e-183,2.5406196117401123
10,1.2876370116477347e-184,2.5402419567108154
