run,best_value,runtime_sec
0,4.942163993391156e-121,2.79858660697937
1,4.882547368442294e-121,3.2079262733459473
2,2.3739433923678177e-122,2.845290422439575
3,7.380009938751406e-122,2.8017897605895996
4,3.148726066712644e-120,2.89143967628479
5,8.298543270243606e-121,3.167865753173828
6,3.094004359585876e-121,2.854375123977661
7,5.26086886012445e-120,2.7911064624786377
8,6.762544358301246e-120,2.975487470626831
9,1.0316644705700986e-122,3.1633596420288086
10,4.900050092349836e-121,2.8016436100006104
