run,best_value,runtime_sec
0,1.7466476359958135e-101,2.54805326461792
1,1.7228123305905445e-103,3.0858097076416016
2,2.641469258064673e-100,2.697948694229126
3,1.008759183266894e-99,2.49302339553833
4,8.176993181511112e-101,2.5538511276245117
5,1.2935501580530705e-101,2.7317144870758057
6,1.957902357882837e-105,2.745317220687866
7,3.136605497953009e-100,2.5156710147857666
8,9.78292477358491e-103,2.553892135620117
9,2.9154251861684486e-104,2.5125372409820557
10,4.06979252637509e-105,2.987725257873535
