run,best_value,runtime_sec
0,4.027253795772405e-90,10.46647047996521
1,2.4001792813588553e-90,10.0912504196167
2,3.250958005523408e-90,10.288718700408936
3,3.0151582014858525e-90,10.553081274032593
4,3.926150295021498e-90,10.793525695800781
5,2.480139616477481e-89,10.43441653251648
6,1.9980377150937136e-90,10.52984094619751
7,1.449937036627507e-90,10.427191257476807
8,2.2126998096592205e-89,10.381376504898071
9,6.945331315812311e-90,10.407068014144897
10,1.113520371414114e-90,10.484766006469727
